1,1
3,2
3,1
3,1
4,1
4,3
5,2
5,4
5,1
5,3
5,4
5,1
5,5
5,4
5,5
5,4
5,5
5,1
5,5
5,1
5,4
5,1
5,1
5,5
5,1
5,2
5,5
5,5
5,5
5,1
6,5
6,5
6,5
6,5
6,1
6,1
6,4
6,6
6,5
6,5
7,5
8,5
8,6
8,5
8,5
9,5
9,3
9,5
9,5
9,5
9,5
9,5
9,8
10,4
10,4
10,9
10,6
10,4
10,10
10,5
10,5
10,1
10,4
10,5
10,7
10,10
10,10
10,1
10,10
10,10
10,10
11,1
11,5
11,6
11,4
11,1
11,9
11,8
11,6
11,10
12,2
12,12
12,4
12,11
12,9
12,5
12,1
12,7
12,11
13,11
13,6
13,6
13,11
13,11
13,5
14,10
14,5
14,5
14,5
14,5
14,4
14,4
14,5
14,5
14,13
14,4
14,10
14,5
14,5
14,5
15,5
15,1
15,14
15,11
15,2
15,1
15,1
15,2
15,6
15,5
16,5
16,5
16,11
16,6
16,4
16,16
16,2
16,8
16,5
16,8
17,2
17,6
17,4
18,6
18,7
18,11
18,11
19,5
19,5
19,8
19,5
19,5
19,7
20,12
20,9
20,4
20,11
20,6
20,10
20,5
20,4
20,15
20,1
20,11
21,6
21,16
21,8
21,15
21,3
21,8
21,14
22,19
22,8
22,18
22,12
22,5
22,9
22,3
23,23
23,6
23,15
23,14
23,5
23,10
24,9
24,10
24,3
24,5
24,9
24,5
24,10
24,18
24,13
24,5
24,5
24,2
25,23
25,5
25,5
25,12
26,1
26,6
26,8
26,5
26,3
26,3
26,5
26,5
26,5
27,8
27,2
28,6
28,3
29,10
29,9
29,28
29,5
29,5
30,23
30,9
30,5
30,24
30,14
30,13
30,24
30,5
30,20
31,7
31,15
31,7
31,8
33,2
33,1
34,7
34,1
34,4
34,26
34,29
34,9
34,22
35,2
35,5
35,5
35,13
35,5
36,5
36,6
36,5
36,35
36,1
36,3
36,1
37,29
37,13
37,14
38,33
39,26
39,36
40,10
40,5
41,20
41,10
41,15
41,17
42,2
43,36
43,15
43,29
43,31
43,15
43,37
44,22
44,23
44,21
44,3
44,21
45,1
46,4
47,14
47,9
48,19
48,5
48,40
48,17
49,1
49,4
51,36
51,2
52,35
53,1
56,36
56,5
56,5
56,5
57,44
57,21
57,5
58,13
62,16
62,47
63,24
64,9
65,50
65,26
66,24
69,39
70,44
71,28
82,35
90,18
99,6
